name,dob,gender,address,first_release_year
Ariana Grande,1993-06-26,F,Boca Raton,2013
Ed Sheeran,1991-02-17,M,Halifax,2011
Billie Eilish,2001-12-18,F,Los Angeles,2019
Lil Nas X,1999-04-09,M,Atlanta,2018
Sam Smith,1992-05-19,O,London,2014
